Name,Current Version,Target Version,Last Updated,Next Update,Update Frequency,"Notes"
Internal Cluster,1.27.9,1.29.0,N/A,TBD,Quarterly,"Planning major upgrade to 1.29"
Twingate,1.67.0,1.73.0,N/A,TBD,Quarterly,"https://www.twingate.com/changelog"
